COURSE NUMBER,COURSE NAME,CRN,INSTRUCTOR,DAYS,TIME,BUILDING,ROOM,SEATS AVAILABLE
FANR9200,Applied Research in Forestry and Natural Resources,69780,Helen Bothwell,No days set,0001-2359,No Classroom Required,NCRR,10
FANR9300,Doctoral Dissertation,22026,James Beasley,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22028,Peter Bettinger,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9300,Doctoral Dissertation,22030,Robert Bringolf,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22031,Bronson Bullock,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22033,Steven Castleberry,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9300,Doctoral Dissertation,22034,Michael Chamberlain,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22035,Richard Chandler,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22036,Chris Cieszewski,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22043,Puneet Dwivedi,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22044,Kamal Gandhi,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22045,Gary Green,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22050,Jeffrey Cymerman,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22051,Sonia Hernandez,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22052,Brian Irwin,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22057,Charles Jackson,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9300,Doctoral Dissertation,22061,Elizabeth King,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22062,John Maerz,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9300,Doctoral Dissertation,22063,Daniel Markewitz,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22070,Clinton Moore,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22073,Nathan Nibbelink,No days set,0001-2359,No Classroom Required,NCRR,100
